#: :filename=/home/mvazque2/.rbbt/tmp/tmp-542940535.Sheet1#:type=:double
#Associated.Gene.Name	Synonyms	Official name	Entrez.Taxa.ID	Entrez.Gene.ID	UniProt.SwissProt.Accession	Ensembl.Gene.ID	TFclass_human	TFclass_mouse	TFclass_rat	TFClass_classification_family_code	TFClass_classification_class_name
ZNF549	FLJ34917	Zinc finger protein 549	9606	256051	Q6P9A3	ENSG00000121406	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF550	MGC41917	Zinc finger protein 550	9606	162972	Q7Z398	ENSG00000251369	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF551	DKFZp686H1038	Zinc finger protein 551 	9606|10090|10116|10090|10116	90233|232854|292548|619331|682964	Q7Z340|Q8BFS8|A0A0G2K5M4|B2RUI1|M0R3W5	ENSG00000204519|ENSMUSG00000034538|ENSRNOG00000015271|ENSMUSG00000034071|ENSRNOG00000047230	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZNF552	FLJ21603	Zinc finger protein 552	9606	79818	Q9H707	ENSG00000178935	TFclass_human.present	NA	NA	2.3.4	C2H2 zinc finger factors
ZNF554	FLJ34817	Zinc finger protein 554	9606	115196	Q86TJ5	ENSG00000172006	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF555	MGC26707	Zinc finger protein 555	9606	148254	Q8NEP9	ENSG00000186300	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF556	FLJ11637	Zinc finger protein 556	9606	80032	Q9HAH1	ENSG00000172000	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF557	MGC4054	Zinc finger protein 557	9606|10090	79230|72230	Q8N988|Q9D4E2	ENSG00000130544|ENSMUSG00000074500	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF558	FLJ30932	Zinc finger protein 558	9606|10090	148156|72230	Q96NG5|Q9D4E2	ENSG00000167785|ENSMUSG00000074500	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF559	MGC13105	Zinc finger protein 559	9606	84527	Q9BR84	ENSG00000188321	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF560	FLJ31986	Zinc finger protein 560	9606	147741	Q96MR9	ENSG00000198028	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF561	MGC45408	Zinc finger protein 561	9606|10090|10116	93134|77519|367034	Q8N587|E9Q2S7|A0A0G2JW15	ENSG00000171469|ENSMUSG00000060510|ENSRNOG00000034037	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZNF562	FLJ20079	Zinc finger protein 562	9606|10090|10116	54811|77519|367034	Q6V9R5|E9Q2S7|A0A0G2JW15	ENSG00000171466|ENSMUSG00000060510|ENSRNOG00000034037	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZNF563	FLJ34797	Zinc finger protein 563	9606	147837	Q8TA94	ENSG00000188868	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF564	MGC26914	Zinc finger protein 564	9606	163050	Q8TBZ8	ENSG00000249709	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZNF565	FLJ36991	Zinc finger protein 565	9606	147929	Q8N9K5	ENSG00000196357	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF566	FLJ14779 MGC12515	Zinc finger protein 566	9606|10090|10116	84924|72556|502316	Q969W8|Q8VCI1|B2RZ94	ENSG00000186017|ENSMUSG00000078768|ENSRNOG00000048138	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZNF567	MGC45586	Zinc finger protein 567	9606	163081	Q8N184	ENSG00000189042	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF568	DKFZp686B0797	Zinc finger protein 568	9606	374900	Q3ZCX4	ENSG00000198453	TFclass_human.present	TFclass_mouse.present	NA	2.3.3	C2H2 zinc finger factors
Znf568	-	Zinc finger protein 568	10090	243905	E9PYI1	ENSMUSG00000074221	NA	TFclass_mouse.present	NA	NA	NA
ZNF569	FLJ32053 ZAP1 Zfp74	Zinc finger protein 569	9606|10090|10116	148266|72723|103690038	Q5MCW4|Q80W31|M0RDY1	ENSG00000196437|ENSMUSG00000059975|ENSRNOG00000046937	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZNF57	-	Zinc finger protein 57 	9606	126295	Q68EA5	ENSG00000171970	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF570	FLJ30791	Zinc finger protein 570	9606	148268	Q96NI8	ENSG00000171827	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF571	HSPC059	Zinc finger protein 571	9606	51276	Q7Z3V5	ENSG00000180479	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF572	FLJ38002	Zinc finger protein 572	9606	137209	Q7Z3I7	ENSG00000180938	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF573	FLJ30921	Zinc finger protein 573	9606	126231	Q86YE8	ENSG00000189144	TFclass_human.present	NA	NA	NA	NA
ZNF574	FLJ22059	Zinc finger protein 574	9606|10090|10116	64763|232976|308434	Q6ZN55|Q8BY46|Q504L7	ENSG00000105732|ENSMUSG00000045252|ENSRNOG00000055761	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
ZNF575	FLJ32567	Zinc finger protein 575	9606|10090|10116	284346|101544|308430	Q86XF7|Q3TXZ1|D4AB91	ENSG00000176472|ENSMUSG00000066721|ENSRNOG00000024065	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZNF576	MGC2508	Zinc finger protein 576	9606	79177	Q9H609	ENSG00000124444	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF577	MGC4400	Zinc finger protein 577	9606	84765	Q9BSK1	ENSG00000161551	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF579	FLJ35453	Zinc finger protein 579	9606|10090|10116	163033|68490|308339	Q8NAF0|Q80VM4|B1WBW3	ENSG00000218891|ENSMUSG00000051550|ENSRNOG00000016608	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
ZNF580	-	Zinc finger protein 580 	9606	51157	Q9UK33	ENSG00000213015	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.2	C2H2 zinc finger factors
Znf580	-	Zinc finger protein 580	10090|10116	68992|308336	Q9DB38|D4A235	ENSMUSG00000055633|ENSRNOG00000016274	NA	TFclass_mouse.present	TFclass_rat.present	NA	NA
ZNF581	HSPC189 FLJ22550	Zinc finger protein 581	9606	51545	Q9P0T4	ENSG00000171425	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF582	FLJ30927	Zinc finger protein 582	9606	147948	Q96NG8	ENSG00000018869	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF583	FLJ31030	Zinc finger protein 583 	9606|10090	147949|213011	Q96ND8|Q3V080	ENSG00000198440|ENSMUSG00000030443	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZNF584	FLJ39899	Zinc finger protein 584	9606	201514	Q8IVC4	ENSG00000171574	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF585A	FLJ23765 Zfp27	Zinc finger protein 585A	9606|10090	199704|22689	Q6P3V2|P10077	ENSG00000196967|ENSMUSG00000062040	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF586	FLJ20070	Zinc finger protein 586	9606	54807	Q9NXT0	ENSG00000083828	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF587	ZF6 FLJ14710 UBF-fl FLJ20813	Zinc finger protein 587	9606|10090|10116|10090|10116	84914|232854|292548|619331|682964	Q96SQ5|Q8BFS8|A0A0G2K5M4|B2RUI1|M0R3W5	ENSG00000198466|ENSMUSG00000034538|ENSRNOG00000015271|ENSMUSG00000034071|ENSRNOG00000047230	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
ZNF587B	-	Zinc finger protein 587B	9606	100293516	E7ETH6	ENSG00000269343	TFclass_human.present	NA	NA	NA	NA
ZNF589	SZF1	Zinc finger protein 589 	9606	51385	Q86UQ0	ENSG00000164048	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF592	KIAA0211 CAMOS	Zinc finger protein 592	9606|10090|10116	9640|233410|293038	Q92610|Q8BHZ4|D3ZJG8	ENSG00000166716|ENSMUSG00000005621|ENSRNOG00000060206	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
ZNF594	KIAA1871	Zinc finger protein 594 	9606	84622	Q96JF6	ENSG00000180626	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF595	FLJ31740	Zinc finger protein 595	9606	152687	Q8IYB9	ENSG00000272602	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF596	-	Zinc finger protein 596	9606	169270	Q8TC21	ENSG00000172748	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF597	FLJ33071 HIT-4	Zinc finger protein 597	9606|10090|10116	146434|71063|266774	Q96LX8|Q3TA97|Q6AZ70	ENSG00000167981|ENSMUSG00000039789|ENSRNOG00000007576	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
ZNF599	FLJ30663	Zinc finger protein 599	9606	148103	Q96NL3	ENSG00000153896	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF600	KR-ZNF1 DKFZp686F06123	Zinc finger protein 600	9606	162966	Q6ZNG1	ENSG00000189190	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF605	-	Zinc finger protein 605	9606|10090|10116	100289635|675812|100365779	Q86T29|E9QAH2|F1M278	ENSG00000196458|ENSMUSG00000023284|ENSRNOG00000037428	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZNF606	FLJ14260 KIAA1852	Zinc finger protein 606 	9606|10090|10116	80095|67370|292610	Q8WXB4|Q7TSV0|G3V8H6	ENSG00000166704|ENSMUSG00000030386|ENSRNOG00000019127	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
ZNF607	MGC13071 FLJ14802	Zinc finger protein 607	9606	84775	Q96SK3	ENSG00000198182	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF610	FLJ36040	Zinc finger protein 610	9606	162963	Q8N9Z0	ENSG00000167554	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF611	MGC5384	Zinc finger protein 611	9606	81856	Q8N823	ENSG00000213020	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF613	FLJ13590	Zinc finger protein 613	9606	79898	Q6PF04	ENSG00000176024	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF614	FLJ21941	Zinc finger protein 614	9606	80110	Q8N883	ENSG00000142556	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF615	FLJ33710	Zinc finger protein 615	9606	284370	Q8N8J6	ENSG00000197619	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF616	MGC45556	Zinc finger protein 616	9606|10090|10116	90317|224585|100365363	Q08AN1|O88256|A0A0G2K0R0	ENSG00000204611|ENSMUSG00000067942|ENSRNOG00000059492	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF618	KIAA1952 NEDD10	Zinc finger protein 618	9606|10116	114991|313253	Q5T7W0|F1LV71	ENSG00000157657|ENSRNOG00000006719	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
ZNF619	FLJ90764	Zinc finger protein 619	9606	285267	Q8N2I2	ENSG00000177873	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF620	MGC50836	Zinc finger protein 620	9606	253639	Q6ZNG0	ENSG00000177842	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF621	FLJ45246	Zinc finger protein 621	9606	285268	Q6ZSS3	ENSG00000172888	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF623	KIAA0628	Zinc finger protein 623	9606|10090|10116	9831|78834|102547932	O75123|Q9CY99|D3ZBN5	ENSG00000183309|ENSMUSG00000050846|ENSRNOG00000009302	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZNF624	KIAA1349	Zinc finger protein 624	9606	57547	Q9P2J8	ENSG00000197566	TFclass_human.present	TFclass_mouse.present	NA	2.3.3	C2H2 zinc finger factors
ZNF625	-	Zinc finger protein 625	9606	90589	Q96I27	ENSG00000257591	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF626	-	Zinc finger protein 626	9606	199777	Q68DY1	ENSG00000188171	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF627	FLJ90365	Zinc finger protein 627	9606	199692	Q7L945	ENSG00000198551	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF628	ZEC Zfp628	Zinc finger protein 628	9606|10090|10116	89887|232816|100359484	Q5EBL2|Q8CJ78|D4A8F7	ENSG00000197483|ENSMUSG00000074406|ENSRNOG00000038622	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
ZNF629	KIAA0326	Zinc finger protein 629 	9606|10090|10090|10116	23361|320683|71131|308998	Q9UEG4|Q6A085|Q8BKK5|Q99PJ7	ENSG00000102870|ENSMUSG00000045639|ENSMUSG00000048921|ENSRNOG00000018877	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
ZNF639	ANC-2H01 ZASC1	Zinc finger protein 639 	9606|10090|10116	51193|67778|683504	Q9UID6|Q99KZ6|Q5PPG4	ENSG00000121864|ENSMUSG00000027667|ENSRNOG00000043053	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
ZNF641	FLJ31295	Zinc finger protein 641	9606|10090|10116	121274|239652|300197	Q96N77|Q8BZ34|D4A704	ENSG00000167528|ENSMUSG00000022987|ENSRNOG00000032447	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZNF644	KIAA1221 BM-005 MGC60165 MGC70410	Zinc finger protein 644 	9606|10090|10116	84146|52397|305127	Q9H582|Q3UMJ0|D4A778	ENSG00000122482|ENSMUSG00000049606|ENSRNOG00000002112	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
ZNF646	KIAA0296	Zinc finger protein 646	9606|10090|10116	9726|233905|309003	O15015|Q6NV66|A0A0G2KA68	ENSG00000167395|ENSMUSG00000049739|ENSRNOG00000026115	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
ZNF648	FLJ46813	Zinc finger protein 648	9606|10090|10116	127665|100503355|100362915	Q5T619|D3Z0W3|D3ZYA2	ENSG00000179930|ENSMUSG00000066797|ENSRNOG00000031569	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZNF649	FLJ12644	Zinc finger protein 649	9606	65251	Q9BS31	ENSG00000198093	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF652	KIAA0924	Zinc finger protein 652	9606|10090|10116	22834|268469|497984	Q9Y2D9|Q5DU09|A1L1J6	ENSG00000198740|ENSMUSG00000075595|ENSRNOG00000017001	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZNF653	Zip67	Zinc finger protein 653 	9606|10090|10116	115950|319601|300446	Q96CK0|Q6YND2|D3ZM61	ENSG00000161914|ENSMUSG00000038895|ENSRNOG00000014065	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZNF654	FLJ10997 FLJ21142	Zinc finger protein 654 	9606|10090	55279|72020	Q8IZM8|Q9DAU9	ENSG00000175105|ENSMUSG00000047141	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
ZNF655	VIK-1 VIK	Zinc finger protein 655 	9606|10090|10116	79027|72611|360764	Q8N720|Q9CZP3|Q5RKG8	ENSG00000197343|ENSMUSG00000007812|ENSRNOG00000060129	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZNF658	MGC35232 DKFZp572C163 FLJ32813	Zinc finger protein 658	9606	26149	Q5TYW1	ENSG00000274349	TFclass_human.present	NA	NA	2.3.4	C2H2 zinc finger factors
ZNF66	FLJ16537	Putative zinc finger protein 66 	9606	7617	Q6ZN08	ENSG00000160229	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF660	FLJ36870	Zinc finger protein 660	9606|10116	285349|108351806	Q6AZW8|A0A0G2KBC6	ENSG00000144792|ENSRNOG00000053687	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF662	FLJ45880	Zinc finger protein 662	9606	389114	Q6ZS27	ENSG00000182983	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF664	ZFOC1 DKFZp761B128	Zinc finger protein 664 	9606|10090|10116	144348|269704|102556092	Q8N3J9|Q4VA44|D3ZXN6	ENSG00000179195|ENSRNOG00000021705|	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZNF665	FLJ14345 ZFP160L	Zinc finger protein 665 	9606|10090|10116	79788|224585|100365363	Q9H7R5|O88256|A0A0G2K0R0	ENSG00000197497|ENSMUSG00000067942|ENSRNOG00000059492	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF667	FLJ14011	Zinc finger protein 667	9606	63934	Q5HYK9	ENSG00000198046	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
Znf667	-	Zinc finger protein 667 	10090|10116	384763|308326	Q2TL60|Q5MYW4	ENSMUSG00000054893|ENSRNOG00000033906	NA	TFclass_mouse.present	TFclass_rat.present	NA	NA
ZNF668	FLJ13479	Zinc finger protein 668	9606|10090|10116	79759|244219|309002	Q96K58|Q8K2R5|D3ZPP0	ENSG00000167394|ENSMUSG00000049728|ENSRNOG00000016683	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
ZNF669	FLJ12606	Zinc finger protein 669	9606	79862	Q96BR6	ENSG00000188295	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF670	MGC12466	Zinc finger protein 670	9606	93474	Q9BS34	ENSG00000277462	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF671	FLJ23506	Zinc finger protein 671	9606	79891	Q8TAW3	ENSG00000083814	TFclass_human.present	NA	NA	2.3.4	C2H2 zinc finger factors
ZNF672	FLJ22301	Zinc finger protein 672	9606|10090|10116	79894|319475|303165	Q499Z4|Q99LH4|Q642B2	ENSG00000171161|ENSMUSG00000049755|ENSRNOG00000002713	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZNF674	ZNF673B	Zinc finger protein 674	9606	641339	Q2M3X9	ENSG00000251192	TFclass_human.present	NA	NA	2.3.4	C2H2 zinc finger factors
ZNF675	TIZ TBZF	Zinc finger protein 675 	9606	171392	Q8TD23	ENSG00000197372	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF676	-	Zinc finger protein 676	9606	163223	Q8N7Q3	ENSG00000196109	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF677	MGC48625	Zinc finger protein 677	9606	342926	Q86XU0	ENSG00000197928	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF678	MGC42493	Zinc finger protein 678	9606	339500	Q5SXM1	ENSG00000181450	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF679	MGC42415	Zinc finger protein 679	9606	168417	Q8IYX0	ENSG00000197123	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF680	FLJ90430	Zinc finger protein 680	9606	340252	Q8NEM1	ENSG00000173041	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF681	FLJ31526	Zinc finger protein 681	9606	148213	Q96N22	ENSG00000196172	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF682	BC39498_3	Zinc finger protein 682	9606	91120	O95780	ENSG00000197124	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZNF683	MGC33414 Hobit	Tissue-resident T-cell transcription regulator protein ZNF683 	9606	257101	Q8IZ20	ENSG00000176083	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZNF684	MGC27466	Zinc finger protein 684	9606	127396	Q5T5D7	ENSG00000117010	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF687	KIAA1441	Zinc finger protein 687	9606|10090|10116	57592|78266|100363361	Q8N1G0|Q9D2D7|D3ZT56	ENSG00000143373|ENSMUSG00000019338|ENSRNOG00000021026	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
ZNF689	FLJ90415 TIPUH1	Zinc finger protein 689	9606|10090|10116	115509|71131|308998	Q96CS4|Q8BKK5|Q99PJ7	ENSG00000156853|ENSMUSG00000048921|ENSRNOG00000018877	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZNF69	Cos5	Zinc finger protein 69 	9606	7620	Q9UC07	ENSG00000198429	TFclass_human.present	NA	NA	NA	NA
ZNF691	Zfp691	Zinc finger protein 691	9606|10090|10116	51058|195522|313548	Q5VV52|Q3TDE8|B2GV80	ENSG00000164011|ENSRNOG00000007398|	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZNF692	FLJ20531 Zfp692 AREBP	Zinc finger protein 692 	9606|10090|10116	55657|103836|303164	Q9BU19|Q3U381|F6WEQ6	ENSG00000171163|ENSMUSG00000037243|ENSRNOG00000002682	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZNF695	SBZF3	Zinc finger protein 695 	9606	57116	Q8IW36	ENSG00000197472	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF696	FLJ14129	Zinc finger protein 696	9606	79943	Q9H7X3	ENSG00000185730	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF697	MGC45731	Zinc finger protein 697	9606|10090|10116	90874|242109|295310	Q5TEC3|Q569E7|D4AA20	ENSG00000143067|ENSRNOG00000048181|	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
ZNF699	FLJ38144 hang	Zinc finger protein 699 	9606	374879	Q32M78	ENSG00000196110	TFclass_human.present	NA	NA	NA	NA
ZNF7	KOX4 HF.16	Zinc finger protein 7 	9606|10090|10116	7553|223669|315101	P17097|Q3TFZ4|D3ZBV5	ENSG00000147789|ENSMUSG00000033669|ENSRNOG00000050497	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZNF70	Cos17 MGC48959	Zinc finger protein 70 	9606	7621	Q9UC06	ENSG00000187792	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF700	DKFZp434I1610	Zinc finger protein 700	9606	90592	Q9H0M5	ENSG00000196757	TFclass_human.present	NA	NA	NA	NA
ZNF701	FLJ10891	Zinc finger protein 701	9606	55762	Q9NV72	ENSG00000167562	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF705A	FLJ16353	Zinc finger protein 705A	9606	440077	Q6ZN79	ENSG00000196946	TFclass_human.present	NA	NA	2.3.2	C2H2 zinc finger factors
ZNF705D	-	Zinc finger protein 705D	9606	728957	P0CH99	ENSG00000215343	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF705E	-	Putative zinc finger protein 705EP 	9606	100131539	A8MWA4	ENSG00000214534	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF705G	-	Putative zinc finger protein 705G	9606	100131980	A8MUZ8	ENSG00000215372	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF707	-	Zinc finger protein 707	9606|10090|10116	286075|69020|315088	Q96C28|Q8R0U9|B1WC62	ENSG00000181135|ENSMUSG00000034429|ENSRNOG00000057901	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZNF708	KOX8	Zinc finger protein 708 	9606	7562	P17019	ENSG00000182141	TFclass_human.present	NA	NA	NA	NA
ZNF709	FLJ38281	Zinc finger protein 709	9606|10090|10090	163051|619310|100039123	Q8N972|Q3UVL3|A2ARL5	ENSG00000242852|ENSMUSG00000074472|ENSMUSG00000078875	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZNF71	Cos26 EZFIT	Endothelial zinc finger protein induced by tumor necrosis factor alpha 	9606	58491	Q9NQZ8	ENSG00000197951	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF710	DKFZp547K1113 FLJ37393 FLJ00306	Zinc finger protein 710	9606|10090|10090|10116|10116	374655|209225|238803|100360041|293044	Q8N1W2|Q3U288|Q6NS86|D4A715|D4A0K8	ENSG00000140548|ENSMUSG00000048897|ENSMUSG00000050919|ENSRNOG00000017249|ENSRNOG00000014278	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZNF711	CMPX1 ZNF4 ZNF5 dJ75N13.1 Zfp711 MRX97	Zinc finger protein 711 	9606|10090|10116	7552|245595|302327	Q9Y462|A2ANX9|D3ZHB2	ENSG00000147180|ENSMUSG00000025529|ENSRNOG00000022391	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
ZNF713	FLJ39963	Zinc finger protein 713	9606	349075	Q8N859	ENSG00000178665	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF714	-	Zinc finger protein 714	9606	148206	Q96N38	ENSG00000160352	TFclass_human.present	NA	NA	NA	NA
ZNF716	FLJ46189	Zinc finger protein 716	9606	441234	A6NP11	ENSG00000182111	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF717	X17	Zinc finger protein 717 	9606|10090|10116	100131827|22698|303173	Q9BY31|Q02525|D4A5T4	ENSG00000227124|ENSMUSG00000037001|ENSRNOG00000014712	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
ZNF720	-	KRAB domain-containing protein 5	9606	124411	Q7Z2F6	ENSG00000197302	TFclass_human.present	NA	NA	NA	NA
